Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","SW_Kailh_Choc_V2",172.542200,-176.987200,180.000000,top
"MX2","MX-NoLED","SW_Kailh_Choc_V2",232.003600,-114.350800,180.000000,top
"MX3","MX-NoLED","SW_Kailh_Choc_V2",131.419600,-107.899200,180.000000,top
"MX4","MX-NoLED","SW_Kailh_Choc_V2",260.883400,-102.260400,180.000000,top
"MX5","MX-NoLED","SW_Kailh_Choc_V2",101.295200,-107.619800,180.000000,top
"MX6","MX-NoLED","SW_Kailh_Choc_V2",289.941000,-102.946200,180.000000,top
"MX7","MX-NoLED","SW_Kailh_Choc_V2",156.794200,-123.012200,180.000000,top
"MX8","MX-NoLED","SW_Kailh_Choc_V2",315.823600,-141.325600,180.000000,top
"MX9","MX-NoLED","SW_Kailh_Choc_V2",229.514400,-143.103600,180.000000,top
"MX10","MX-NoLED","SW_Kailh_Choc_V2",286.791400,-131.945800,180.000000,top
"MX11","MX-NoLED","SW_Kailh_Choc_V2",258.038600,-132.537200,180.000000,top
"MX12","MX-NoLED","SW_Kailh_Choc_V2",318.947800,-109.220000,180.000000,top
"R1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",299.600000,-76.200000,180.000000,top
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",299.600000,-78.600000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H8.5mm",158.040000,-73.950000,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H8.5mm",142.800000,-73.660000,0.000000,top
"SW3","SW_Push","SW_PUSH_6mm_H8.5mm",112.320000,-73.950000,0.000000,top
"SW4","SW_Push","SW_PUSH_6mm_H8.5mm",173.990000,-73.950000,0.000000,top
"SW5","SW_Push","SW_PUSH_6mm_H8.5mm",191.060000,-73.950000,0.000000,top
"SW6","SW_Push","SW_PUSH_6mm_H8.5mm",127.560000,-73.950000,0.000000,top
"U1","brook_ufb","Brook_Universal_Fighting_Board",292.345249,-187.995305,180.000000,top
"U2","UP5","UP5",99.212400,-187.375800,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",224.969652,-57.517200,180.000000,top
